"Locus","expressed_in","expression_level"
"ENSG00000184895","brain",
"ENSG00000182968","brain",
"ENSG00000125398","brain",
"ENSG00000125398","salivary gland",
"ENSG00000104044","skin",
"ENSG00000104044","thyroid",
"ENSG00000104044","testis",
"ENSG00000104044","lymph node",
"ENSG00000104044","placenta",
"ENSG00000104044","esophagus",
"ENSG00000104044","spleen",
"ENSG00000104044","brain",
"ENSG00000104044","prostate",
"ENSG00000104044","kidney",
"ENSG00000128731","transformed skin fibroblast",17
"ENSG00000128731","esophagus",18
"ENSG00000128731","cervix",17
"ENSG00000128731","aorta",17
"ENSG00000128731","urinary bladder",16
"ENSG00000128731","tibial artery",18
"ENSG00000128731","colon",20
"ENSG00000128731","pituitary gland",19
"ENSG00000128731","fallopian tube",18
"ENSG00000128731","thyroid",18
"ENSG00000128731","testis",15
"ENSG00000128731","uterus",22
"ENSG00000128731","tibial nerve",22
"ENSG00000128731","cerebellum",25
"ENSG00000128731","ovary",23
"ENSG00000128731","cerebellar hemisphere",24
"ENSG00000128573","brain",
"ENSG00000120254","coronary artery",66
"ENSG00000120254","aorta",40
"ENSG00000128731","eye",
"ENSG00000104044","eye",
